Datetime,Open,High,Low,Close
2022-02-10 02:19:00+00:00,44305.72265625,44305.72265625,44305.72265625,44305.72265625
2022-02-10 02:20:00+00:00,44299.35546875,44299.35546875,44299.35546875,44299.35546875
2022-02-10 02:21:00+00:00,44297.6015625,44297.6015625,44297.6015625,44297.6015625
2022-02-10 02:22:00+00:00,44281.59375,44281.59375,44281.59375,44281.59375
2022-02-10 02:23:00+00:00,,,,
2022-02-10 02:24:00+00:00,,,,
2022-02-10 02:25:00+00:00,44299.796875,44299.796875,44299.796875,44299.796875
2022-02-10 02:26:00+00:00,44301.00390625,44301.00390625,44301.00390625,44301.00390625
2022-02-10 02:27:00+00:00,44302.43359375,44302.43359375,44302.43359375,44302.43359375
2022-02-10 02:28:00+00:00,,,,
2022-02-10 02:29:00+00:00,44298.09765625,44298.09765625,44298.09765625,44298.09765625
2022-02-10 02:30:00+00:00,44303.57421875,44303.57421875,44303.57421875,44303.57421875
2022-02-10 02:31:00+00:00,44310.84765625,44310.84765625,44310.84765625,44310.84765625
2022-02-10 02:32:00+00:00,44307.90234375,44307.90234375,44307.90234375,44307.90234375
2022-02-10 02:33:00+00:00,44307.0703125,44307.0703125,44307.0703125,44307.0703125
2022-02-10 02:34:00+00:00,44290.00390625,44290.00390625,44290.00390625,44290.00390625
2022-02-10 02:35:00+00:00,44291.78125,44291.78125,44291.78125,44291.78125
2022-02-10 02:36:00+00:00,,,,
2022-02-10 02:37:00+00:00,44287.33203125,44287.33203125,44287.33203125,44287.33203125
2022-02-10 02:38:00+00:00,44285.63671875,44285.63671875,44285.63671875,44285.63671875
2022-02-10 02:39:00+00:00,44282.09765625,44282.09765625,44282.09765625,44282.09765625
2022-02-10 02:40:00+00:00,,,,
2022-02-10 02:41:00+00:00,44283.89453125,44283.89453125,44283.89453125,44283.89453125
2022-02-10 02:42:00+00:00,44289.234375,44289.234375,44289.234375,44289.234375
2022-02-10 02:43:00+00:00,44308.69921875,44308.69921875,44308.69921875,44308.69921875
2022-02-10 02:44:00+00:00,44309.3984375,44309.3984375,44309.3984375,44309.3984375
2022-02-10 02:45:00+00:00,,,,
2022-02-10 02:46:00+00:00,44280.38671875,44280.38671875,44280.38671875,44280.38671875
2022-02-10 02:47:00+00:00,44283.859375,44283.859375,44283.859375,44283.859375
2022-02-10 02:48:00+00:00,44282.10546875,44282.10546875,44282.10546875,44282.10546875
2022-02-10 02:49:00+00:00,,,,
2022-02-10 02:50:00+00:00,44228.375,44228.375,44228.375,44228.375
2022-02-10 02:51:00+00:00,44219.421875,44219.421875,44219.421875,44219.421875
2022-02-10 02:52:00+00:00,44136.09765625,44136.09765625,44136.09765625,44136.09765625
2022-02-10 02:53:00+00:00,44149.9765625,44149.9765625,44149.9765625,44149.9765625
2022-02-10 02:54:00+00:00,,,,
2022-02-10 02:55:00+00:00,44159.78125,44159.78125,44159.78125,44159.78125
2022-02-10 02:56:00+00:00,,,,
2022-02-10 02:57:00+00:00,44152.33203125,44152.33203125,44152.33203125,44152.33203125
2022-02-10 02:58:00+00:00,44049.6328125,44049.6328125,44049.6328125,44049.6328125
2022-02-10 02:59:00+00:00,44027.07421875,44027.07421875,44027.07421875,44027.07421875
2022-02-10 03:00:00+00:00,44015.36328125,44015.36328125,44015.36328125,44015.36328125
2022-02-10 03:01:00+00:00,43908.99609375,43908.99609375,43908.99609375,43908.99609375
2022-02-10 03:02:00+00:00,43910.7109375,43910.7109375,43910.7109375,43910.7109375
2022-02-10 03:03:00+00:00,43913.14453125,43913.14453125,43913.14453125,43913.14453125
2022-02-10 03:04:00+00:00,43848.36328125,43848.36328125,43848.36328125,43848.36328125
2022-02-10 03:05:00+00:00,43832.765625,43832.765625,43832.765625,43832.765625
2022-02-10 03:06:00+00:00,43835.73828125,43835.73828125,43835.73828125,43835.73828125
2022-02-10 03:07:00+00:00,43815.69140625,43815.69140625,43815.69140625,43815.69140625
2022-02-10 03:08:00+00:00,43810.1171875,43810.1171875,43810.1171875,43810.1171875
2022-02-10 03:09:00+00:00,,,,
2022-02-10 03:10:00+00:00,43740.0703125,43740.0703125,43740.0703125,43740.0703125
2022-02-10 03:11:00+00:00,43746.9609375,43746.9609375,43746.9609375,43746.9609375
2022-02-10 03:12:00+00:00,43753.6015625,43753.6015625,43753.6015625,43753.6015625
2022-02-10 03:13:00+00:00,43764.671875,43764.671875,43764.671875,43764.671875
2022-02-10 03:14:00+00:00,43766.03515625,43766.03515625,43766.03515625,43766.03515625
2022-02-10 03:15:00+00:00,,,,
2022-02-10 03:16:00+00:00,43748.51953125,43748.51953125,43748.51953125,43748.51953125
2022-02-10 03:17:00+00:00,43746.4921875,43746.4921875,43746.4921875,43746.4921875
2022-02-10 03:18:00+00:00,43755.796875,43755.796875,43755.796875,43755.796875
2022-02-10 03:19:00+00:00,,,,
2022-02-10 03:20:00+00:00,,,,
2022-02-10 03:21:00+00:00,43776.12109375,43776.12109375,43776.12109375,43776.12109375
2022-02-10 03:22:00+00:00,43793.671875,43793.671875,43793.671875,43793.671875
2022-02-10 03:23:00+00:00,43803.5078125,43803.5078125,43803.5078125,43803.5078125
2022-02-10 03:24:00+00:00,,,,
2022-02-10 03:25:00+00:00,,,,
2022-02-10 03:26:00+00:00,43827.3984375,43827.3984375,43827.3984375,43827.3984375
2022-02-10 03:27:00+00:00,,,,
2022-02-10 03:28:00+00:00,,,,
2022-02-10 03:29:00+00:00,43806.3046875,43806.3046875,43806.3046875,43806.3046875
2022-02-10 03:30:00+00:00,43808.18359375,43808.18359375,43808.18359375,43808.18359375
2022-02-10 03:31:00+00:00,43790.05078125,43790.05078125,43790.05078125,43790.05078125
2022-02-10 03:32:00+00:00,43784.3515625,43784.3515625,43784.3515625,43784.3515625
2022-02-10 03:33:00+00:00,43793.41796875,43793.41796875,43793.41796875,43793.41796875
2022-02-10 03:34:00+00:00,43793.28515625,43793.28515625,43793.28515625,43793.28515625
2022-02-10 03:35:00+00:00,43801.09765625,43801.09765625,43801.09765625,43801.09765625
2022-02-10 03:36:00+00:00,43803.3046875,43803.3046875,43803.3046875,43803.3046875
2022-02-10 03:37:00+00:00,,,,
2022-02-10 03:38:00+00:00,43827.2109375,43827.2109375,43827.2109375,43827.2109375
2022-02-10 03:39:00+00:00,43826.35546875,43826.35546875,43826.35546875,43826.35546875
2022-02-10 03:40:00+00:00,43825.51953125,43825.51953125,43825.51953125,43825.51953125
2022-02-10 03:41:00+00:00,43825.0,43825.0,43825.0,43825.0
2022-02-10 03:42:00+00:00,43825.1484375,43825.1484375,43825.1484375,43825.1484375
2022-02-10 03:43:00+00:00,43805.6015625,43805.6015625,43805.6015625,43805.6015625
2022-02-10 03:44:00+00:00,43804.75390625,43804.75390625,43804.75390625,43804.75390625
2022-02-10 03:45:00+00:00,,,,
2022-02-10 03:46:00+00:00,,,,
2022-02-10 03:47:00+00:00,43801.3828125,43801.3828125,43801.3828125,43801.3828125
2022-02-10 03:48:00+00:00,43805.99609375,43805.99609375,43805.99609375,43805.99609375
2022-02-10 03:49:00+00:00,43819.390625,43819.390625,43819.390625,43819.390625
2022-02-10 03:50:00+00:00,43815.63671875,43815.63671875,43815.63671875,43815.63671875
2022-02-10 03:51:00+00:00,,,,
2022-02-10 03:52:00+00:00,43809.33984375,43809.33984375,43809.33984375,43809.33984375
2022-02-10 03:53:00+00:00,,,,
2022-02-10 03:54:00+00:00,43812.03125,43812.03125,43812.03125,43812.03125
2022-02-10 03:55:00+00:00,43807.88671875,43807.88671875,43807.88671875,43807.88671875
2022-02-10 03:56:00+00:00,,,,
2022-02-10 03:57:00+00:00,43813.33203125,43813.33203125,43813.33203125,43813.33203125
2022-02-10 03:58:00+00:00,43818.75,43818.75,43818.75,43818.75
2022-02-10 03:59:00+00:00,,,,
2022-02-10 04:00:00+00:00,43820.16015625,43820.16015625,43820.16015625,43820.16015625
2022-02-10 04:01:00+00:00,43823.96875,43823.96875,43823.96875,43823.96875
2022-02-10 04:02:00+00:00,43816.375,43816.375,43816.375,43816.375
2022-02-10 04:03:00+00:00,43816.28125,43816.28125,43816.28125,43816.28125
2022-02-10 04:04:00+00:00,43808.01171875,43808.01171875,43808.01171875,43808.01171875
2022-02-10 04:05:00+00:00,43810.234375,43810.234375,43810.234375,43810.234375
2022-02-10 04:06:00+00:00,43813.734375,43813.734375,43813.734375,43813.734375
2022-02-10 04:07:00+00:00,43835.046875,43835.046875,43835.046875,43835.046875
2022-02-10 04:08:00+00:00,43842.61328125,43842.61328125,43842.61328125,43842.61328125
2022-02-10 04:09:00+00:00,43845.08203125,43845.08203125,43845.08203125,43845.08203125
2022-02-10 04:10:00+00:00,43858.08203125,43858.08203125,43858.08203125,43858.08203125
2022-02-10 04:11:00+00:00,,,,
2022-02-10 04:12:00+00:00,43863.55078125,43863.55078125,43863.55078125,43863.55078125
2022-02-10 04:13:00+00:00,,,,
2022-02-10 04:14:00+00:00,43867.4921875,43867.4921875,43867.4921875,43867.4921875
2022-02-10 04:15:00+00:00,43869.2109375,43869.2109375,43869.2109375,43869.2109375
2022-02-10 04:16:00+00:00,43877.04296875,43877.04296875,43877.04296875,43877.04296875
2022-02-10 04:17:00+00:00,43864.296875,43864.296875,43864.296875,43864.296875
2022-02-10 04:18:00+00:00,43863.9921875,43863.9921875,43863.9921875,43863.9921875
2022-02-10 04:19:00+00:00,,,,
2022-02-10 04:20:00+00:00,43834.77734375,43834.77734375,43834.77734375,43834.77734375
2022-02-10 04:21:00+00:00,43835.3046875,43835.3046875,43835.3046875,43835.3046875
2022-02-10 04:22:00+00:00,,,,
2022-02-10 04:23:00+00:00,43829.97265625,43829.97265625,43829.97265625,43829.97265625
2022-02-10 04:24:00+00:00,,,,
2022-02-10 04:25:00+00:00,43845.51171875,43845.51171875,43845.51171875,43845.51171875
2022-02-10 04:26:00+00:00,43847.0546875,43847.0546875,43847.0546875,43847.0546875
2022-02-10 04:27:00+00:00,,,,
2022-02-10 04:28:00+00:00,,,,
2022-02-10 04:29:00+00:00,43864.0,43864.0,43864.0,43864.0
